Carl von Ossietzky Universität Oldenburg;http://www.uni-oldenburg.de;TYPO3
Hochschule Bonn-Rhein-Sieg;http://www.h-brs.de;Unbekannt
Universität Erfurt;http://www.uni-erfurt.de;TYPO3
Fachhochschule Polizei Sachsen-Anhalt (Aschersleben);http://www.sachsen-anhalt.de/LPSA;TYPO3
design akademie berlin, Hochschule für Kommunikation und Design (FH) (Berlin);http://www.design-akademie-berlin.de;Unbekannt
Hochschule Merseburg;http://hs-merseburg.de;TYPO3
Fachhochschule der Diakonie (Bielefeld);http://fh-diakonie.de;
Hochschule für öffentliche Verwaltung Kehl;http://www.hs-kehl.de/hochschule/zentrale-einrichtungen/rechenzentrum/;TYPO3;6.1
Universität Leipzig;http://www.uni-leipzig.de;TYPO3
BTK - Hochschule für Gestaltung;http://www.btk-fh.de;Unbekannt
Kunstakademie Münster;http://www.kunstakademie-muenster.de;TYPO3
Evangelische Fachhochschule Rheinland-Westfalen-Lippe (Bochum);http://www.efh-bochum.de;Contao
Hochschule Reutlingen;http://www.reutlingen-university.de;TYPO3
Frankfurt School of Finance &amp; Management (Frankfurt am Main);http://www.frankfurt-school.de;Unbekannt
Deutsche Sporthochschule Köln;http://www.dshs-koeln.de;TYPO3
Hochschule für Gesundheit (Bochum);http://www.hs-gesundheit.de;TYPO3
Hochschule Karlsruhe – Technik und Wirtschaft;http://www.hs-karlsruhe.de;TYPO3
Hochschule für Wirtschaft, Technik und Kultur Berlin (HWTK);http://www.hwtk.de;Unbekannt
Hochschule RheinMain (Wiesbaden und Rüsselsheim);http://www.hs-rm.de;TYPO3
Fachhochschule der Polizei des Landes Brandenburg (Oranienburg);http://www.fhpolbb.de;Drupal;7
Hochschule Landshut;http://www.haw-landshut.de;TYPO3
Hochschule für nachhaltige Entwicklung Eberswalde;http://www.hnee.de;
Universität Hildesheim;http://www.uni-hildesheim.de;TYPO3
SRH Fernhochschule Riedlingen;http://www.fh-riedlingen.de;TYPO3
Universität Ulm;http://www.uni-ulm.de;TYPO3
Hochschule Geisenheim;http://www.hs-geisenheim.de;TYPO3
Otto-Friedrich-Universität Bamberg;http://www.uni-bamberg.de;TYPO3
Hochschule Mittweida;http://www.hs-mittweida.de;TYPO3
Johann Wolfgang Goethe-Universität Frankfurt am Main;http://www.uni-frankfurt.de;Infopark CMS Fiona;6.8.1.26.236500544
Technische Universität Dresden;http://www.tu-dresden.de;Plone
Hochschule für Musik und Darstellende Kunst Stuttgart;http://www.mh-stuttgart.de;TYPO3
Fachhochschule der Wirtschaft (Paderborn);http://www.fhdw.de;Unbekannt
ESMT European School of Management and Technology (Berlin);http://de.esmt.org;Drupal;7
Universität Bayreuth;http://www.uni-bayreuth.de;Infopark CMS Fiona;7.0.1
Hochschule Ravensburg-Weingarten;http://www.hs-weingarten.de;Unbekannt
Martin-Luther-Universität Halle-Wittenberg;http://www.uni-halle.de;
SRH Hochschule für Logistik und Wirtschaft Hamm;http://www.fh-hamm.srh.de;TYPO3
Katholische Stiftungsfachhochschule München;http://www.ksfh.de;Unbekannt
Kunsthochschule Berlin-Weißensee;http://www.kh-berlin.de;TYPO3
Evangelische Hochschule für Soziale Arbeit Dresden;http://www.ehs-dresden.de;TYPO3;4.5
Hochschule Ulm;http://www.hs-ulm.de;
Universität Koblenz-Landau;http://www.uni-koblenz-landau.de;Unbekannt
Hochschule der populären Künste FH;http://www.hdpk.de;TYPO3
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen;http://www.hfwu.de;TYPO3
Staatliche Hochschule für Bildende Künste – Städelschule (Frankfurt am Main);http://www.staedelschule.de;TYPO3
Fachhochschule Lübeck;http://www.fh-luebeck.de;TYPO3
Akademie der Bildenden Künste Nürnberg;http://www.adbk-nuernberg.de;Unbekannt
Folkwang Universität der Künste (Essen);http://www.folkwang-uni.de;TYPO3;4.5
Deutsche Hochschule für Prävention und Gesundheitsmanagement (Saarbrücken);http://www.dhfpg.de;TYPO3
Fachhochschule Erfurt;http://www.fh-erfurt.de;TYPO3;4.2
Nordakademie (Elmshorn);http://www.nordakademie.de;TYPO3
Theologische Fakultät Paderborn;http://www.thf-paderborn.de;TYPO3
DPFA Hochschule Sachsen (Zwickau);http://www.dpfa-hs.de;TYPO3;4.5
Hochschule für angewandte Wissenschaften München;http://www.hm.edu;Unbekannt
